,PlayerID,PlayerName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
1089,2738,Paul McShane,Defender,7965.0,1.0,3.0,1.0,2.0,7.0
1994,4766,Mile Jedinak,Midfielder,7089.0,1.0,3.0,3.0,0.0,7.0
1067,3796,Thomas Vermaelen,Defender,8746.0,1.0,2.0,2.0,2.0,7.0
1105,10968,Ben Godfrey,Defender,7360.0,1.0,2.0,2.0,2.0,7.0
1070,3009,Danny Gabbidon,Defender,7060.0,0.0,2.0,3.0,2.0,7.0
1193,3193,Ibrahima Sonko,Defender,2761.0,1.0,0.0,6.0,0.0,7.0
1936,20745,Romain Saïss,Midfielder,8966.0,1.0,2.0,4.0,0.0,7.0
1273,1694,Ian Evatt,Defender,3215.0,1.0,2.0,2.0,2.0,7.0
1038,4796,Mamadou Sakho,Defender,10663.0,1.0,3.0,3.0,0.0,7.0
1795,4617,James Ward-Prowse,Midfielder,20690.0,2.0,1.0,3.0,1.0,7.0
951,2013,Liam Ridgewell,Defender,15548.0,1.0,4.0,1.0,1.0,7.0
1029,6058,Nicolás Otamendi,Defender,11177.0,0.0,5.0,1.0,1.0,7.0
1195,4546,Mathieu Debuchy,Defender,4630.0,2.0,1.0,3.0,1.0,7.0
1186,12937,Eric Bailly,Defender,4979.0,1.0,1.0,3.0,2.0,7.0
1799,3861,Nemanja Matic,Midfielder,19270.0,3.0,1.0,3.0,0.0,7.0
1961,2611,Mathieu Flamini,Midfielder,7082.0,1.0,5.0,0.0,1.0,7.0
1099,3280,John Pantsil,Defender,7209.0,0.0,3.0,0.0,4.0,7.0
1095,13274,Ezri Konsa,Defender,7718.0,2.0,2.0,3.0,0.0,7.0
986,1515,Paul Konchesky,Defender,12115.0,3.0,2.0,2.0,0.0,7.0
948,5140,Virgil van Dijk,Defender,17403.0,1.0,3.0,3.0,0.0,7.0
1073,2749,David Wheater,Defender,8336.0,3.0,1.0,2.0,1.0,7.0
928,1494,Ashley Cole,Defender,17860.0,2.0,3.0,2.0,0.0,7.0
730,2011,Boaz Myhill,Goalkeeper,10564.0,0.0,6.0,1.0,0.0,7.0
1015,3644,Martin Kelly,Defender,11808.0,0.0,5.0,0.0,2.0,7.0
1240,4835,Jordi Amat,Defender,3703.0,0.0,5.0,2.0,0.0,7.0
947,4916,Toby Alderweireld,Defender,17579.0,0.0,1.0,2.0,3.0,6.0
1810,921,Phil Neville,Midfielder,14710.0,1.0,1.0,2.0,2.0,6.0
983,2054,William Gallas,Defender,12324.0,0.0,3.0,2.0,1.0,6.0
978,5175,Kurt Zouma,Defender,14758.0,1.0,2.0,1.0,2.0,6.0
774,2309,Ross Turnbull,Goalkeeper,2835.0,0.0,5.0,0.0,1.0,6.0
1154,1505,Jlloyd Samuel,Defender,5661.0,1.0,1.0,2.0,2.0,6.0
1149,2485,Richard Stearman,Defender,6027.0,1.0,2.0,2.0,1.0,6.0
988,2217,Michael Turner,Defender,13917.0,2.0,1.0,3.0,0.0,6.0
1123,2518,Jonathan Spector,Defender,4946.0,0.0,3.0,2.0,1.0,6.0
