PlayerID,PlayerName,PlayerShortName,Position,minutes,redcards,errors,pensconceded,owngoals,sumerrors
4843,Etienne Capoue,Capoue,Midfielder,14740,1,1,3,0,5
1780,Paul Robinson,Robinson,Defender,9786,1,1,3,0,5
4841,Paulinho,Paulinho,Midfielder,2860,1,4,0,0,5
7500,Sol Bamba,Bamba,Defender,2475,0,3,2,0,5
3244,Jake Livermore,Livermore,Midfielder,14236,2,0,2,1,5
24626,Douglas Luiz,Luiz,Midfielder,8117,1,1,3,0,5
5220,Fabian Schär,Schar,Defender,7043,1,3,1,0,5
3242,Charlie Daniels,Daniels,Defender,11061,0,3,2,0,5
776,Stephen Carr,Carr,Defender,7183,0,2,2,1,5
3362,Patrick van Aanholt,Aanholt,Defender,17744,0,2,1,2,5
2216,Darren Randolph,Randolph,Goalkeeper,2970,0,5,0,0,5
3465,Habib Beye,Beye,Defender,4994,2,0,2,1,5
5066,Victor Lindelöf,Lindelof,Defender,11920,0,2,1,2,5
6194,Wesley Hoedt,Hoedt,Defender,3690,0,2,1,2,5
2259,Clarke Carlisle,Carlisle,Defender,2374,0,2,2,1,5
2040,Kevin Nolan,Nolan,Midfielder,15487,3,0,1,0,4
4550,Vurnon Anita,Anita,Midfielder,7569,0,1,3,0,4
3527,Wilson Palacios,Palacios,Midfielder,9641,2,0,2,0,4
3819,Grant Hanley,Hanley,Defender,6515,0,1,1,2,4
3513,Gareth Bale,Bale,Forward,12830,1,1,1,1,4
2936,James Chester,Chester,Defender,4702,1,0,1,2,4
3811,Nathan Redmond,Redmond,Midfielder,18955,1,1,2,0,4
2934,Patrice Evra,Evra,Defender,20894,0,1,2,1,4
25183,Tomas Soucek,Soucek,Midfielder,7522,1,0,1,2,4
1664,Andy O'Brien,O'Brien,Defender,6146,0,2,2,0,4
3390,Dan Gosling,Gosling,Midfielder,10466,1,2,1,0,4
6519,Sadio Mané,Mane,Forward,20657,3,0,1,0,4
4815,Matt Targett,Targett,Defender,11595,0,1,2,1,4
11259,João Moutinho,Moutinho,Midfielder,11653,1,0,3,0,4
